map,A_d,B_d,C_d,1_d,2_d,3_d,num_entrances
DX_DX_0,6,8,4,6,4,NA,2
DX_NX_0,7,7,5,5,5,NA,2
DX_PX_0,6,4,8,5,6,NA,2
DX_UN_0,6,6,6,4,6,NA,2
ND_DX_0,4,6,6,6,NA,NA,1
ND_DX_1,4,2,10,4,NA,NA,1
ND_NX_0,5,7,5,5,NA,NA,1
ND_NX_1,6,2,10,2,NA,NA,1
ND_PX_0,4,4,8,4,NA,NA,1
ND_PX_1,2,4,8,7,NA,NA,1
ND_UN_0,9,9,5,3,NA,NA,1
NX_DX_0,7,7,5,5,7,5,3
NX_NX_0,6,6,6,6,5,5,3
NX_PX_0,4,8,4,7,7,4,3
NX_UN_0,7,3,11,3,5,9,3
PX_DX_0,4,10,2,8,10,3,3
PX_NX_0,7,7,9,3,5,8,3
PX_PX_0,4,6,6,5,7,4,3
PX_UN_0,9,7,7,4,4,7,3
UN_DX_0,7,7,5,5,5,NA,2
UN_NX_0,10,6,6,6,6,NA,2
UN_PX_0,4,8,4,7,7,NA,2
UN_UN_0,6,6,6,4,4,NA,2
